Date_dissected	Family	ID	Sample	Sex	Condition	Larval_diet	Femur_length	Tibia_Length	Tarsus_Length	Wing_Length	HeadWidth	HeadLength	Post-pedicel_Length	Arista_Length	Thorax_Length	Female_Oviscape	Female_posterior_spermathecae1	Female_posterior_spermathecae2	Female_Anterior_Spermatheca_Width	Male_Proximal_surstyli_Length	Male_Distal_surstyli_Length	Male_Apodeme_Length	Male_Aedeagus_Length	Male_Anterior_processus_Length	Male_Processus_Length	Male_testis_area	MaleSperm_bundle_Length	Male_Femur_spine_length
04/09/2018	F3	MS-15	F3_M2_RW1	M	Low	Poor	4.246	4.291	3.205	NA	1.308	1.8	0.604	1.078	2.195	NA	NA	NA	NA	NA	NA	NA	1.12	0.166	2.126	0.279	NA	0.050166667
04/09/2018	F3	MS-15	F3_M2_RW2	M	Low	Poor	4.215	4.335	3.218	NA	1.292	1.793	0.593	1.058	2.187	NA	NA	NA	NA	NA	NA	NA	1.119	0.161	2.065	0.28	NA	0.052333333
01/11/2018	F3	MS-64	F3_M3_RW1	M	High	Rich	6.217	6.068	4.311	4.294	1.486	2.904	0.787	1.264	3.045	NA	NA	NA	NA	0.183	0.312	1.134	1.14	0.164	1.615	0.488	0.165833333	0.061166667
01/11/2018	F3	MS-64	F3_M3_RW2	M	High	Rich	6.237	6.088	4.263	4.292	1.474	2.908	0.778	1.283	3.034	NA	NA	NA	NA	0.186	0.309	1.14	1.137	0.163	1.642	0.511	0.163666667	0.065
01/11/2018	F3	MS-65	F3_M4_RW1	M	High	Rich	6.449	6.17	4.283	4.252	1.444	2.691	0.672	1.239	2.985	NA	NA	NA	NA	0.186	0.325	1.126	1.168	0.168	2.119	0.429	0.161333333	0.066166667
01/11/2018	F3	MS-65	F3_M4_RW2	M	High	Rich	6.443	6.204	4.347	4.252	1.464	2.678	0.662	1.221	2.994	NA	NA	NA	NA	0.186	0.324	1.124	1.162	0.168	2.088	0.441	0.1575	0.058166667
07/11/2018	F3	MS-72	F3_M5_RW1	M	Low	Poor	4.069	4.145	3.113	3.378	1.145	1.825	0.556	1.039	2.24	NA	NA	NA	NA	0.174	0.29	1.093	1.15	0.173	1.988	0.281	0.1685	0.036
07/11/2018	F3	MS-72	F3_M5_RW2	M	Low	Poor	4.068	4.153	3.134	3.363	1.143	1.821	0.567	1.024	2.255	NA	NA	NA	NA	0.172	0.289	1.095	1.148	0.174	2.008	0.266	0.1735	0.036333333
13/11/2018	F3	MS-91	F3_M6_RW1	M	Low	Poor	4.092	4.213	3.262	3.48	1.207	1.823	0.553	1.071	2.32	NA	NA	NA	NA	0.177	0.292	1.08	1.136	0.155	2.029	NA	0.14	0.035666667
13/11/2018	F3	MS-91	F3_M6_RW2	M	Low	Poor	4.092	4.182	3.263	3.434	1.212	1.836	0.558	1.065	2.292	NA	NA	NA	NA	0.177	0.294	1.089	1.129	0.16	2.073	NA	0.14	0.040833333
17/08/2018	F4	FS-4	F4_F1_RW1	F	Low	Poor	3.571	3.4	2.532	NA	NA	1.492	0.478	0.956	2.095	1.666	0.124	0.145	0.089	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	FS-4	F4_F1_RW2	F	Low	Poor	3.579	3.406	2.53	NA	NA	1.499	0.481	0.971	2.101	1.672	0.125	0.142	0.088	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	FS-5	F4_F2_RW1	F	Low	Poor	3.876	3.321	2.263	3.13	1.14	NA	0.468	0.98	2.081	1.653	0.084	0.091	0.098	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	FS-5	F4_F2_RW2	F	Low	Poor	3.869	3.324	2.267	3.135	1.132	NA	0.456	0.988	2.066	1.66	0.087	0.089	0.095	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	FS-6	F4_F3_RW1	F	Low	Poor	3.861	3.358	2.319	NA	NA	1.332	0.433	0.972	2.014	1.548	0.129	0.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	FS-6	F4_F3_RW2	F	Low	Poor	3.854	3.361	2.318	NA	NA	1.327	0.447	0.966	2.017	1.544	0.129	0.139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/10/2018	F4	FS-41	F4_F4_RW1	F	High	Rich	5.24	4.409	2.877	NA	1.528	1.939	0.582	1.074	2.7	2.17	0.077	0.085	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/10/2018	F4	FS-41	F4_F4_RW2	F	High	Rich	5.236	4.405	2.921	NA	1.524	1.935	0.571	1.074	2.697	2.128	0.078	0.086	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/10/2018	F4	FS-42	F4_F5_RW1	F	High	Rich	4.446	4.125	3.014	3.928	1.52	2.004	0.587	1.125	2.71	1.924	0.061	0.061	0.057	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/10/2018	F4	FS-42	F4_F5_RW2	F	High	Rich	4.461	4.14	3.06	3.957	1.523	1.987	0.573	1.121	2.709	1.916	0.06	0.064	0.058	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/11/2018	F4	FS-73	F4_F6_RW1	F	Low	Poor	3.98	3.31	2.365	NA	1.202	1.529	0.455	1.013	2.102	1.97	0.09	0.088	0.061	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/11/2018	F4	FS-73	F4_F6_RW2	F	Low	Poor	4.001	3.279	2.361	NA	1.195	1.533	0.446	1.021	2.107	1.913	0.088	0.086	0.062	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/11/2018	F4	FS-95	F4_F7_RW1	F	High	Rich	4.971	4.282	NA	3.89	1.525	1.908	0.59	1.111	2.713	2.093	0.108	0.097	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/11/2018	F4	FS-95	F4_F7_RW2	F	High	Rich	4.924	4.319	NA	3.895	1.529	1.897	0.565	1.109	2.728	2.056	0.109	0.098	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA
17/08/2018	F4	MS-13	F4_M1_RW1	M	Low	Poor	3.643	3.644	2.951	3.131	NA	1.417	0.53	0.968	2.11	NA	NA	NA	NA	NA	NA	1.042	1.117	0.221	2.047	0.401	NA	0.040666667
17/08/2018	F4	MS-13	F4_M1_RW2	M	Low	Poor	3.647	3.71	2.928	3.144	NA	1.428	0.521	0.952	2.096	NA	NA	NA	NA	NA	NA	1.056	1.126	0.228	2.059	0.452	NA	0.044
12/10/2018	F4	MS-30	F4_M2_RW1	M	High	Rich	6.262	6.22	4.534	NA	1.422	2.685	0.769	1.044	2.964	NA	NA	NA	NA	0.203	0.319	1.182	1.19	0.166	1.816	0.338	0.144666667	0.063166667
12/10/2018	F4	MS-30	F4_M2_RW2	M	High	Rich	6.272	6.175	4.508	NA	1.428	2.72	0.769	1.035	3.017	NA	NA	NA	NA	0.21	0.32	1.19	1.199	0.167	1.814	0.34	0.1405	0.0615
25/10/2018	F4	MS-52	F4_M3_RW1	M	High	Rich	6.364	6.05	4.222	3.954	1.461	2.878	0.781	1.196	3.186	NA	NA	NA	NA	0.18	0.305	1.072	1.154	0.176	2.054	0.461	0.152833333	0.0565
25/10/2018	F4	MS-52	F4_M3_RW2	M	High	Rich	6.334	6.06	4.209	3.957	1.459	2.889	0.772	1.191	3.173	NA	NA	NA	NA	0.17	0.307	1.078	1.148	0.178	2.032	0.445	0.153166667	0.060166667
25/10/2018	F4	MS-53	F4_M4_RW1	M	High	Rich	6.304	6.174	NA	4.515	1.513	2.796	0.793	1.231	3.023	NA	NA	NA	NA	0.16	0.31	1.15	1.183	0.182	2.167	0.326	0.158166667	0.059166667
25/10/2018	F4	MS-53	F4_M4_RW2	M	High	Rich	6.273	6.157	NA	4.497	1.524	2.829	0.8	1.213	3.035	NA	NA	NA	NA	0.161	0.313	1.153	1.19	0.178	2.168	0.319	0.164333333	0.062
25/10/2018	F4	MS-54	F4_M5_RW1	M	High	Rich	6.223	6.045	4.187	4.352	1.57	2.791	0.775	1.172	3.077	NA	NA	NA	NA	0.196	0.322	1.056	1.166	0.176	1.858	0.385	0.172666667	0.0565
25/10/2018	F4	MS-54	F4_M5_RW2	M	High	Rich	6.227	6.029	4.223	4.355	1.555	2.796	0.783	1.205	3.073	NA	NA	NA	NA	0.195	0.316	1.057	1.169	0.171	1.859	0.37	0.163666667	0.054833333
30/10/2018	F4	MS-59	F4_M6_RW1	M	High	Rich	6.059	5.861	NA	4.488	1.485	2.809	0.796	1.098	3.135	NA	NA	NA	NA	0.205	0.304	1.149	1.144	0.165	2.035	0.481	0.146333333	0.066333333
30/10/2018	F4	MS-59	F4_M6_RW2	M	High	Rich	6.03	5.878	NA	4.447	1.498	2.807	0.794	1.084	3.128	NA	NA	NA	NA	0.209	0.299	1.154	1.139	0.164	2.041	0.464	0.144666667	0.067166667
08/11/2018	F4	MS-79	F4_M7_RW1	M	Low	Poor	4.101	3.803	2.828	3.189	1.185	1.738	0.549	0.935	2.161	NA	NA	NA	NA	0.184	0.274	1.057	1.135	0.169	2.009	0.324	0.159	0.036666667
08/11/2018	F4	MS-79	F4_M7_RW2	M	Low	Poor	4.099	3.829	2.855	3.202	1.178	1.751	0.552	0.935	2.16	NA	NA	NA	NA	0.179	0.276	1.064	1.13	0.171	2.046	0.33	0.161666667	0.036166667
08/11/2018	F4	MS-80	F4_M8_RW1	M	Low	Poor	3.985	4.114	3.055	3.265	1.181	1.691	0.552	0.974	2.239	NA	NA	NA	NA	0.145	0.289	1.058	1.128	0.179	1.754	0.24	0.161333333	0.043
