Year	LD(in_AprilDays)	ClutchsizeAge7	IDFemale
2004	20	10	R627865
2009	27	11	R627865
2015	20	NA	R627922
2005	23	10	R627929
2007	16	9	R627929
2004	20	10	R627930
2013	39	8	R683443
2004	29	8	R832573
2005	29	8	R832573
2006	32	8	R832573
2008	17	13	R832573
2012	16	7	R832573
2004	24	6	R832600
2010	17	7	R832600
2004	16	7	R832609
2004	27	7	R832609
2004	20	9	R832654
2002	15	6	R927217
2005	24	5	R927217
2004	27	8	R928111
2002	8	10	R928118
2017	16	NA	R928118
2005	16	11	R928138
2011	20	10	R928138
2012	23	9	R928138
2004	26	8	R928163
2005	12	15	R928410
2011	10	12	R928410
2004	25	8	R928426
2009	10	10	R928426
2015	14	NA	R928456
2003	19	6	R928462
2004	17	12	R928462
2004	18	8	R928463
2004	29	8	R928468
2004	20	8	R928470
2004	22	8	R928471
2002	4	12	R928473
2004	17	10	R928473
2004	33	7	R928476
2007	11	8	R928476
2007	18	8	R928477
2006	23	10	R928478
2004	29	4	R928480
2004	20	12	R928481
2004	20	11	R928482
2005	22	9	R928483
2006	24	12	R928483
2007	14	11	R928483
2009	11	9	R928483
2012	18	9	R928483
2017	2	10	R928483
2004	20	9	R928484
2005	21	12	R928484
2006	24	6	R928489
2011	26	8	R928489
2005	26	6	R928490
2017	3	11	R928491
2006	24	8	R928492
2004	26	7	S271029
2017	6	8	S271029
2007	16	4	S271153
2008	9	16	S271153
2013	35	8	S271154
2010	18	10	S271304
2009	7	15	S271328
2016	31	4	S271332
2011	8	11	S271334
2016	24	7	S271335
2007	11	14	S271337
2006	28	9	S271339
2007	17	8	S271341
2006	28	9	S271343
2017	7	9	S271344
2016	14	11	S271346
2013	33	11	S271347
2013	29	9	S271349
2016	33	NA	S271351
2011	18	10	S271352
2012	15	15	S271355
2012	15	11	S271356
2017	38	NA	S271357
2012	4	10	S271358
2007	13	10	S271359
2016	25	4	S271360
2005	16	7	S271361
2008	21	11	S271361
2011	7	12	S271362
2013	35	7	S271363
2005	21	6	S271365
2009	6	12	S271371
2011	4	13	S271372
2006	23	11	S271373
2005	15	7	S271375
2009	8	18	S271378
2006	20	9	S271390
2006	22	8	S271396
2005	17	12	T144001
2005	19	9	T144019
2006	22	9	T144019
2007	10	12	T144061
2003	25	7	T144090
2005	15	10	T144090
2012	32	9	T144106
2005	26	6	T144156
2006	22	10	T144156
2005	24	8	T144168
2011	9	12	T144168
2005	23	8	T144228
2003	14	8	T144240
2005	21	7	T144240
2007	17	9	T144243
2003	23	8	T144282
2008	23	10	T144297
2005	32	9	T144313
2006	23	11	T144313
2006	26	10	T144313
2007	23	8	T144313
2007	16	11	T144313
2008	24	12	T144313
2009	16	11	T144313
2011	9	13	T144313
2012	18	7	T144313
2006	23	10	T144410
2007	16	12	T144410
2008	11	13	T144410
2005	13	NA	T144413
2006	21	10	T144413
2008	23	10	T144413
2012	16	9	T144413
2013	31	9	T144413
2005	19	10	T144557
2011	14	10	T144557
2005	27	10	T144629
2008	25	9	T144629
2008	14	9	T144629
2009	17	10	T144629
2010	19	12	T144629
2012	17	3	T144629
2015	14	NA	T144629
2004	37	7	T144637
2013	33	10	T144694
2005	17	11	T144696
2008	21	14	T144696
2002	19	8	T144784
2006	35	8	T144784
2005	27	7	T144849
2005	28	9	T144860
2005	16	10	T144892
2007	15	8	T144892
2012	7	14	T144892
2005	29	6	T144974
2004	41	3	T144986
2004	21	9	T233812
2005	29	1	T233812
2005	26	8	T233812
2006	23	11	T233812
2007	10	11	T233812
2016	24	8	T233812
2004	26	9	T233820
2005	23	8	T233820
2007	8	12	T233820
2008	25	9	T233820
2012	15	9	T233820
2005	12	11	T233821
2007	16	8	T233821
2016	35	6	T233830
2005	9	9	T233831
2006	25	8	T233831
2015	21	NA	T233831
2007	15	9	T233909
2005	23	6	T233928
2005	17	12	T233932
2006	25	9	T233932
2002	18	9	T233938
2005	19	5	T233938
2005	25	9	T233941
2005	31	8	T233941
2007	15	9	T233942
2013	47	7	T233942
2005	19	7	T233947
2007	14	8	T233947
2016	15	NA	T233947
2007	14	9	T233956
2008	19	10	T233956
2012	30	6	T233956
2009	15	13	T234000
2005	27	10	T337703
2005	22	11	T337707
2008	26	10	T337707
2007	15	NA	T337723
2005	21	8	T337730
2005	7	10	T337769
2005	23	10	T337772
2005	20	7	T337772
2006	20	9	T337774
2007	10	10	T337774
2015	16	NA	T337774
2005	21	11	T337775
2002	23	8	T337777
2005	21	9	T337777
2006	20	11	T337777
2007	15	10	T337777
2005	23	9	T337778
2006	34	8	T337778
2006	27	9	T337778
2009	12	12	T337778
2004	17	11	T337780
2005	25	9	T337781
2006	26	9	T337781
2007	15	11	T337781
2006	25	10	T337782
2002	18	6	T337783
2007	17	9	T337783
2002	22	8	T337784
2005	26	10	T337784
2007	19	10	T337784
2009	10	11	T337784
2010	18	14	T337784
2005	18	8	T337786
2007	17	10	T337786
2008	20	10	T337786
2011	13	10	T337786
2005	27	9	T337787
2006	28	8	T337787
2007	19	10	T337787
2010	11	10	T337787
2016	35	7	T337787
2016	24	10	T337787
2004	23	8	T337790
2005	34	6	T337790
2013	28	7	T337901
2005	24	10	T337904
2010	15	10	T337904
2005	15	10	T337905
2011	14	10	T337905
2005	28	7	T337910
2005	16	8	T337910
2007	23	6	T337918
2010	7	11	T337918
2015	19	NA	T337918
2016	19	NA	T337918
2005	25	7	T337920
2007	15	19	T337920
2015	23	NA	T337920
2004	41	8	T337921
2005	16	11	T337921
2006	31	9	T337921
2007	18	10	T337921
2016	25	11	T337929
2005	19	9	T337933
2010	18	10	T337938
2002	7	10	T337946
2004	23	11	T337956
2005	15	9	T337956
2006	23	10	T337956
2007	15	10	T337956
2008	22	9	T337956
2003	33	7	T337957
2005	31	6	T337957
2006	25	8	T337957
2008	25	8	T337957
2007	11	12	T337977
2008	10	15	T337977
2009	10	13	T337977
2016	18	NA	T337977
2011	10	14	T337981
2006	22	9	T520008
2009	11	12	T520008
2017	38	NA	T520020
2005	22	10	T520590
2006	24	9	T520740
2006	24	9	T520751
2013	38	5	T520751
2007	17	10	T520845
2008	24	9	T520845
2010	33	5	T520845
2007	21	7	T520855
2005	25	10	T520942
2007	11	10	T520942
2004	26	10	T520971
2007	20	8	T520971
2008	6	9	T520997
2007	19	8	T521004
2017	5	NA	T521004
2005	24	9	T521010
2005	23	9	T521011
2005	15	15	T521045
2006	25	8	T521045
2011	8	12	T521047
2016	34	7	T521049
2013	47	7	T521063
2005	17	9	T521067
2006	24	8	T521067
2007	14	9	T521067
2011	19	9	T521067
2012	4	11	T521067
2005	12	10	T521068
2006	19	11	T521068
2007	8	12	T521068
2005	14	7	T521071
2017	7	7	T521071
2009	11	9	T521072
2016	20	7	T521072
2005	13	13	T521086
2017	17	NA	T521093
2005	33	8	T521201
2012	11	11	T521201
2005	9	11	T521202
2006	22	12	T521202
2007	13	10	T521202
2009	11	13	T521202
2005	16	10	T521204
2007	14	8	T521204
2012	7	14	T521204
2005	13	12	T521207
2006	22	8	T521207
2006	23	12	T521207
2007	11	11	T521207
2008	10	15	T521207
2009	25	9	T521207
2009	18	11	T521207
2016	21	8	T521207
2017	8	9	T521207
2003	25	9	T521208
2006	25	12	T521208
2004	28	9	T521209
2005	8	9	T521209
2005	15	12	T521210
2007	20	10	T521211
2005	32	5	T521213
2007	15	10	T521214
2008	13	12	T521214
2009	17	13	T521214
2005	15	12	T521215
2015	16	NA	T521216
2017	16	NA	T521216
2005	16	6	T521218
2009	17	11	T521218
2005	15	11	T521219
2006	25	8	T521219
2003	23	7	T521220
2005	16	9	T521220
2006	22	10	T521220
2007	13	7	T521220
2011	32	6	T521220
2012	18	6	T521220
2005	14	7	T521224
2005	27	9	T521225
2006	23	10	T521225
2010	18	10	T521225
2010	19	14	T521225
2011	11	11	T521229
2003	28	8	T521230
2005	27	8	T521231
2007	13	9	T521231
2007	13	9	T521237
2013	34	7	T521237
2005	31	10	T521238
2005	31	7	T521239
2011	11	12	T521239
2005	31	8	T521283
2007	15	11	T884038
2007	10	10	T884061
2007	8	10	T884067
2009	11	12	T884067
2003	24	8	T884087
2004	21	11	T884087
2013	30	10	T884109
2006	27	6	T884162
2006	30	10	T884162
2007	10	10	T884162
2006	20	10	T884165
2006	25	7	T884165
2007	12	8	T884165
2015	21	NA	T884165
2006	26	10	T884172
2017	36	7	T884172
2007	16	8	T884177
2007	7	8	T884177
2016	22	NA	T884177
2012	10	10	T884181
2007	14	9	T885106
2006	25	7	T885109
2007	12	9	T885109
2004	18	10	T885111
2007	12	10	T885111
2008	15	11	T885111
2013	50	7	T885111
2006	24	9	T885113
2011	10	12	T885113
2007	12	12	T885124
2007	10	9	T885125
2006	30	9	T885158
2009	28	8	T885158
2005	23	13	T885163
2006	31	9	T885163
2006	35	8	T885165
2010	13	13	T980060
2005	21	9	T980061
2007	19	9	T980061
2003	22	9	T980087
2007	10	12	T980087
2008	22	11	T980087
2011	12	8	T980087
2007	21	9	T980096
2010	20	9	T980096
2008	19	11	T980143
2003	24	7	T980182
2007	21	8	T980182
2008	21	11	T980182
2009	13	12	T980182
2012	4	15	T980182
2007	13	11	T980248
2007	16	10	T980254
2008	11	13	T980254
2007	13	11	T980260
2008	8	12	T980301
2009	9	12	T980301
2011	13	10	T980301
2012	13	10	T980301
2008	18	9	T980315
2008	14	15	T980315
2009	13	10	T980315
2007	23	8	T980349
2008	14	14	T980378
2007	15	10	T980392
2008	13	12	T980392
2007	16	9	T980438
2004	24	9	T980527
2007	17	10	T980527
2003	21	7	T980550
2007	14	11	T980550
2009	10	11	T980550
2010	16	11	T980550
2006	29	11	T980560
2006	25	11	T980560
2007	13	11	T980560
2008	24	10	T980560
2009	17	12	T980560
2008	29	10	T980600
2013	28	10	T980600
2007	19	9	T980626
2017	23	NA	T980626
2007	17	11	T980807
2008	5	11	T980823
2017	23	9	T980823
2011	10	11	T980853
2016	25	8	T980855
2006	23	4	T980857
2006	37	8	T980882
2016	38	6	T980882
2017	1	NA	T980883
2008	18	8	T980907
2013	28	10	T980907
2011	11	11	T980993
2005	17	8	TV29512
2017	3	9	TV29536
2005	19	12	TV29601
2007	11	10	V461001
2008	18	6	V461001
2007	13	10	V461002
2008	23	8	V461008
2007	14	11	V461011
2003	17	9	V461025
2004	14	9	V461025
2007	17	9	V461025
2002	5	10	V461026
2007	24	7	V461073
2007	11	11	V461073
2009	5	14	V461709
2004	24	9	V461710
2007	8	11	V461710
2008	13	11	V461710
2010	18	9	V461710
2009	9	9	V461711
2007	9	12	V461712
2012	16	9	V461713
2013	34	7	V461714
2007	11	10	V461715
2011	11	11	V461715
2007	11	11	V461719
2007	13	11	V461722
2003	19	8	V461723
2007	13	11	V461723
2008	9	12	V461723
2009	12	11	V461723
2017	4	10	V461723
2007	12	8	V461724
2007	14	10	V461727
2008	5	11	V461727
2009	14	9	V461727
2007	13	12	V461728
2007	13	9	V461729
2017	12	NA	V461729
2007	15	12	V461731
2008	11	15	V461731
2011	12	12	V461732
2007	13	10	V461733
2008	14	12	V461733
2009	13	13	V461733
2013	33	10	V461733
2004	17	8	V461734
2011	9	4	V461734
2007	16	9	V461735
2007	11	9	V461736
2012	18	7	V461737
2007	17	9	V461739
2003	20	9	V461740
2007	16	13	V461740
2008	13	16	V461740
2009	13	15	V461740
2016	26	6	V461740
2007	16	10	V461741
2007	16	10	V461742
2007	17	9	V461743
2007	18	8	V461744
2015	38	NA	V461744
2007	12	12	V461745
2004	20	10	V461747
2007	19	8	V461747
2008	27	8	V461747
2009	25	9	V461747
2007	12	10	V461749
2007	20	9	V461749
2008	8	11	V461750
2007	19	11	V461751
2011	13	8	V461753
2007	21	9	V461754
2009	34	8	V461754
2010	22	11	V461755
2011	12	9	V461756
2007	26	8	V461758
2003	28	6	V461759
2008	18	11	V461759
2007	15	7	V461760
2017	17	NA	V461760
2002	12	10	V461817
2008	7	11	V461817
2016	23	7	V461817
2004	27	8	V461826
2008	23	9	V520855
2006	27	9	V524053
2008	13	11	V524053
2003	22	8	V524056
2006	24	9	V524056
2009	12	11	V524056
2010	20	9	V524056
2011	13	8	V524056
2012	16	8	V524056
2013	36	8	V524056
2008	19	12	V524291
2013	28	9	V524291
2006	29	7	V524971
2009	11	10	V524971
2004	18	9	V524975
2008	28	7	V524983
2009	16	7	V524983
2002	9	10	V791810
2003	19	7	V791810
2017	9	NA	V791810
2013	37	7	V791830
2008	7	13	V791831
2002	11	9	V791832
2003	17	10	V791833
2009	41	6	V791839
2009	11	13	V791842
2012	14	7	V791842
2008	11	13	V791843
2009	14	12	V791843
2008	13	13	V791844
2008	15	12	V791855
2008	6	13	V791859
2005	18	11	V791860
2009	12	11	V791860
2008	15	10	V791861
2008	14	9	V791863
2009	10	10	V791866
2011	14	7	V791866
2011	14	9	V791866
2008	20	8	V791868
2004	17	10	V791869
2008	22	12	V791873
2009	12	14	V791873
2012	11	7	V791873
2008	23	9	V791877
2015	18	NA	V791882
2008	20	7	V791883
2009	11	10	V791913
2010	23	12	V791913
2013	33	8	V791913
2013	37	7	V791913
2007	15	9	V791924
2009	21	9	V791924
2009	17	7	V791938
2011	14	11	V791938
2013	34	9	V791938
2009	10	16	V791960
2009	12	11	V791968
2010	14	11	V791968
2011	11	11	V791968
2013	44	3	V791968
2009	14	12	V791982
2013	24	10	V791994
2006	20	7	X065954
2002	13	8	X068061
2004	26	11	X068061
2011	9	10	X068147
2013	25	8	X068147
2009	15	10	X068155
2007	13	11	X068240
2009	22	9	X068240
2004	21	9	X068692
2016	42	4	X068692
2008	26	9	X068828
2009	12	10	X068828
2009	14	10	X068841
2009	14	11	X068841
2010	18	14	X068841
2011	11	10	X068841
2011	8	12	X068871
2009	12	12	X068902
2011	9	13	X068902
2012	32	6	X068902
2013	36	5	X068902
2017	4	NA	X068918
2017	9	6	X068936
2009	13	10	X068942
2011	31	8	X068954
2005	19	7	X068966
2008	15	11	X068966
2009	17	10	X068966
2010	19	13	X068966
2012	15	5	X068966
2012	18	12	X068966
2009	12	9	X371504
2010	34	9	X371514
2003	21	6	X371530
2003	20	8	X371530
2011	13	10	X371530
2005	16	7	X371534
2010	13	11	X371534
2010	15	14	X371537
2006	22	8	X371538
2006	31	10	X371538
2013	33	9	X371538
2003	25	8	X371550
2011	13	11	X371552
2013	43	4	X371552
2007	8	10	X371554
2002	5	11	X371591
2011	18	9	X371591
2011	11	11	X371598
2012	13	14	X371598
2013	29	9	X371598
2009	10	12	X380307
2009	13	10	X380318
2010	13	10	X380318
2003	24	10	X380342
2010	23	10	X380342
2009	41	NA	X380378
2005	7	12	X380389
2008	11	10	X380389
2009	13	9	X380389
2010	20	12	X380389
2012	14	9	X380389
2015	27	NA	X380391
2009	11	11	X380393
2006	20	10	X380394
2009	12	11	X380394
2007	16	4	X380395
2009	8	10	X380404
2006	23	11	X380406
2009	9	11	X380406
2016	28	10	X380406
2009	9	13	X380407
2010	18	13	X380407
2009	14	11	X380412
2012	14	12	X380412
2002	20	10	X380413
2009	15	10	X380417
2010	21	12	X380418
2012	24	7	X380418
2009	17	10	X380419
2015	15	NA	X380419
2004	15	11	X380420
2008	11	10	X380420
2010	14	8	X380420
2011	9	10	X380420
2017	9	NA	X380422
2009	13	10	X380423
2015	17	NA	X380423
2009	37	NA	X380424
2002	8	10	X380426
2009	11	11	X380426
2009	19	9	X380427
2008	18	9	X380428
2012	8	9	X380428
2010	13	13	X380429
2011	10	15	X380430
2012	11	13	X380430
2013	32	8	X380430
2011	17	9	X380431
2013	32	6	X380480
2011	12	11	X380481
2009	12	13	X380482
2011	8	9	X380482
2016	27	8	X380483
2008	5	8	X380484
2008	7	8	X380484
2009	13	10	X380484
2010	15	8	X380484
2009	14	11	X380485
2010	19	12	X380500
2002	13	7	X381015
2011	13	10	X381015
2012	10	13	X381015
2013	33	10	X381015
2013	28	10	X381015
2015	25	NA	X381015
2011	15	11	X381029
2015	19	NA	X381029
2016	34	8	X381029
2009	13	11	X381042
2011	12	9	X381042
2004	29	9	X381062
2010	19	10	X381118
2011	12	10	X381118
2004	20	7	X381240
2006	28	5	X381240
2010	23	8	X381240
2011	14	11	X381240
2011	11	10	X381240
2004	28	11	X381287
2012	12	10	X381287
2006	27	7	X381289
2010	29	9	X381308
2017	9	9	X381309
2013	26	9	X381409
2007	12	10	X381444
2009	12	13	X381466
2010	28	10	X381466
2013	36	4	X381466
2009	25	9	X381604
2012	11	11	X381608
2017	17	NA	X381608
2012	22	9	X381623
2009	13	12	X381824
2009	10	13	X381824
2012	4	11	X762263
2010	19	11	X762594
2010	21	13	X762601
2003	15	9	X762624
2005	15	9	X762624
2010	23	11	X762624
2010	21	9	X762624
2011	15	10	X762624
2012	34	7	X762624
2011	8	11	X762634
2004	26	4	X762637
2003	25	10	X762655
2012	11	12	X762655
2003	25	8	X762742
2003	23	7	X762742
2006	21	9	X762742
2010	22	9	X762742
2011	14	9	X762742
2012	18	10	X762742
2013	38	7	X762742
2011	9	10	X762755
2010	17	10	X762790
2011	16	8	X762790
2010	15	12	X762822
2010	30	8	X762823
2010	11	6	X762826
2011	10	11	X762826
2017	9	8	X762828
2006	21	10	X762829
2009	11	12	X762829
2010	15	11	X762829
2011	7	10	X762829
2011	8	11	X762830
2012	26	7	X762830
2007	19	7	X762832
2015	20	NA	X762832
2008	21	8	X762834
2006	25	10	X762836
2013	30	10	X762836
2003	30	8	X762839
2013	29	10	X762839
2002	18	12	X762840
2006	26	7	X762840
2008	6	11	X762840
2011	14	10	X762840
2012	31	6	X762840
2013	42	8	X762840
2011	14	12	X762842
2015	43	NA	X762842
2017	6	10	X762842
2005	16	10	X762843
2011	11	9	X762843
2012	28	8	X762843
2002	15	11	X762845
2012	9	10	X762845
2010	15	10	X762846
2007	15	9	X762849
2011	17	10	X762849
2007	12	10	X762850
2011	11	10	X762850
2002	7	5	X762869
2006	21	7	X762870
2004	29	5	X762881
2006	24	11	X762881
2010	23	9	X762881
2011	16	9	X762881
2012	27	6	X762881
2012	30	8	X762881
2015	21	NA	X762904
2011	11	10	X762911
2006	22	9	X762919
2013	29	8	X762919
2004	17	7	X762927
2012	3	9	X762927
2008	25	8	X762936
2017	12	NA	X762936
2012	10	13	X762961
2011	10	13	X762964
2003	17	5	X762994
2010	25	11	X762994
2011	13	9	X763404
2012	15	9	X763404
2010	20	11	X905301
2003	22	8	X905302
2005	16	9	X905305
2010	21	9	X905305
2011	14	12	X905309
2012	16	14	X905309
2003	20	8	X905310
2011	14	11	X905310
2017	16	7	X905310
2010	24	10	X905312
2011	12	8	X905315
2012	15	8	X905315
2012	22	7	X905315
2016	36	9	X905315
2010	21	12	X905322
2017	11	8	X905322
2011	18	9	X905378
2013	37	9	X905378
2013	33	8	X905414
2012	3	10	Y811002
2008	7	10	Y811006
2011	14	12	Y811006
2012	4	10	Y811006
2013	33	7	Y811007
2012	10	6	Y811008
2016	49	2	Y811008
2005	15	8	Y811011
2012	10	10	Y811013
2003	16	11	Y811015
2013	29	7	Y811015
2013	37	8	Y811016
2004	37	9	Y811017
2015	20	NA	Y811018
2008	12	15	Y811019
2012	13	8	Y811019
2006	26	11	Y811021
2013	29	10	Y811023
2012	10	11	Y811024
2012	18	8	Y811024
2008	26	11	Y811025
2003	30	6	Y811026
2012	12	14	Y811026
2011	9	12	Y811027
2012	15	11	Y811028
2013	36	7	Y811029
2016	24	8	Y811029
2004	19	10	Y811032
2012	17	10	Y811032
2008	23	11	Y811033
2012	17	10	Y811033
2013	35	10	Y811035
2008	22	11	Y811038
2012	15	10	Y811038
2005	18	7	Y811040
2007	20	8	Y811040
2012	24	6	Y811040
2012	27	9	Y811040
2015	18	NA	Y811040
2012	26	8	Y811041
2012	28	6	Y811043
2002	13	10	Y811045
2013	35	9	Y811045
2013	36	8	Y811047
2009	8	12	Y811049
2013	29	10	Y811049
2003	26	9	Y811054
2008	6	7	Y811054
2012	14	12	Y811054
2013	29	9	Y811054
2012	32	7	Y811063
2013	25	8	Y811066
2005	25	8	Y811067
2013	27	11	Y811069
2007	28	7	Y811070
2008	24	10	Y811072
2013	25	9	Y811072
2010	14	12	Y811074
2006	28	8	Y811077
2013	28	7	Y811077
2013	35	9	Y811078
2007	22	8	Y811079
2013	30	7	Y811079
2009	10	10	Y811081
2015	23	NA	Y811083
2005	18	8	Y811085
2012	14	10	Y811086
2008	18	12	Y811087
2015	32	NA	Y811088
2012	11	12	Y811089
2002	10	11	Y811090
2009	12	15	Y811090
2017	5	NA	Y811090
2013	31	8	Y811091
2003	24	7	Y811092
2002	8	9	Y811093
2004	28	6	Y811093
2016	27	8	Y811093
2002	15	11	Y811094
2012	24	6	Y811097
2013	27	6	Y811097
2013	37	9	Y811099
2002	7	12	Y811100
2013	35	8	Y811100
2013	35	8	Y811281
2013	34	8	Y811289
2012	18	8	Y811619
2013	37	7	Y811623
2004	26	9	Y811624
2002	9	9	Y811625
2010	19	12	Y811626
2005	25	7	Y811627
2013	33	9	Y811627
2005	26	9	Y811628
2013	37	7	Y811628
2013	37	12	Y811630
2005	19	10	Y811631
2013	39	7	Y811631
2013	40	8	Y811632
2011	15	11	Y811633
2013	46	7	Y811633
2008	28	10	Y811652
2005	27	9	Y811653
2006	38	9	Y811653
2007	20	7	Y811653
2006	26	8	Y811654
2011	16	10	Y811661
2009	6	11	Y811678
2008	22	10	Y811698
2013	25	9	Y811698
2012	23	10	Y812068
2008	24	11	Y812070
2012	13	8	Y812070
2013	27	10	Y812085
2008	22	9	Y812095
2017	19	NA	Y812095
2007	11	10	Y812096
2005	14	8	Y812099
2010	20	11	Y812099
2003	23	7	Y812212
2012	21	10	Y812297
2005	14	13	Y812390
2007	10	11	Y812391
2013	47	6	Y812391
2012	25	10	Y812573
2015	20	NA	Y812573
2002	13	9	Y812582
2008	15	9	Z047003
2011	18	8	Z047088
2013	38	9	Z047429
2006	25	9	Z047542
2013	30	8	Z047542
2004	24	9	Z047857
2006	25	8	Z047879
2006	20	11	Z047879
2004	26	5	Z047886
2006	24	11	Z047888
2012	13	11	Z04792
2004	28	7	Z047978
2005	29	7	Z048037
2009	30	7	Z048303
2010	21	11	Z048306
2006	29	5	Z048310
2006	25	10	Z048314
2008	16	11	Z048401
2017	21	NA	Z048401
2012	29	8	Z048403
2010	21	11	z048404
2004	20	11	Z048408
2005	27	10	Z048409
2011	14	10	Z048410
2011	13	8	Z048411
2017	12	NA	Z048411
2004	22	7	Z048412
2012	18	5	Z048413
2004	23	7	Z048415
2006	25	6	Z048416
2002	22	9	Z048417
2003	18	9	Z048418
2005	14	6	Z048418
2007	13	7	Z048418
2015	12	NA	Z048418
2006	25	12	Z048419
2002	10	10	Z048420
2008	22	10	Z048420
2016	28	8	Z048420
2011	11	13	Z048421
2015	25	NA	Z048421
2017	12	9	Z048421
2003	26	8	Z048423
2006	27	8	Z048424
2008	11	12	Z048425
2015	16	NA	Z048425
2015	16	NA	Z048426
2011	12	9	Z048427
2005	25	NA	Z048428
2006	23	7	Z048428
2016	24	6	Z048428
2005	23	6	Z048429
2006	30	6	Z048430
2017	7	NA	Z048430
2011	15	7	Z048431
2009	19	11	Z048432
2016	33	6	Z048433
2003	25	8	Z048434
2009	15	10	Z048440
2013	36	8	Z048441
2017	14	7	Z048443
2015	27	NA	Z048444
2004	25	7	Z048445
2003	24	8	Z048446
2004	27	8	Z048446
2016	24	8	Z048447
2015	17	NA	Z048449
2006	23	9	Z048450
2007	20	7	Z048450
2013	28	10	Z048450
2005	17	10	Z048451
2012	35	10	Z048452
2002	15	9	Z048453
2007	12	9	Z048454
2003	20	8	Z048455
2015	12	NA	Z048455
2015	16	NA	Z048456
2005	14	9	Z048457
2012	7	11	Z048457
2005	14	10	Z048458
2005	16	3	Z048458
2005	19	7	Z048459
2004	16	11	Z048460
2005	17	7	Z048460
2007	12	11	Z048460
2017	12	11	Z048461
2002	18	6	Z048462
2011	14	12	Z048465
2005	28	7	Z048466
2007	21	6	Z048468
2012	17	8	Z048471
2005	16	8	Z048473
2011	20	10	Z048473
2007	14	4	Z048474
2006	24	9	Z048475
2007	13	10	Z048476
2011	6	12	Z048495
2013	30	8	Z048495
2005	21	9	Z304811
2009	14	10	Z304811
2008	12	9	Z304847
2003	26	8	Z304882
2015	20	NA	Z304882
2016	25	NA	Z304886
2003	25	7	Z309508
2013	30	8	Z309508
2017	3	6	Z309508
2016	33	NA	Z309510
2002	11	11	Z309511
2005	15	11	Z988401
			
