Year	LD(in_AprilDays)	ClutchsizeAge7	IDFemale
2012	12	8	L972062
2011	36	8	L972098
2008	18	10	L972171
2013	25	10	L972171
2007	22	9	L972174
2012	19	7	L972174
2013	29	7	L972179
2009	12	11	L972316
2013	27	9	L972316
2012	13	8	L972415
2013	36	NA	L972415
2003	27	10	L972439
2003	22	10	L972499
2013	34	8	L972499
2007	21	7	L972597
2010	16	11	L972597
2013	34	8	L972597
2013	33	9	L972650
2005	15	10	L972733
2013	32	9	L972733
2012	14	9	L972760
2013	30	7	L972760
2012	8	10	L972762
2011	13	11	L979154
2002	3	NA	A1000261
2002	21	8	A1000262
2002	18	7	A1000267
2002	4	NA	A1000272
2002	4	NA	A1000288
2002	23	NA	A1000299
2002	10	11	A1000305
2002	18	5	A1000306
2002	10	8	A1000314
2003	35	8	A1000316
2003	36	NA	A1000317
2003	21	7	A1000322
2003	31	9	A1000323
2003	31	9	A1000324
2003	31	5	A1000325
2003	27	6	A1000326
2003	26	3	A1000328
2003	24	7	A1000329
2003	23	9	A1000331
2003	17	9	A1000333
2003	30	7	A1000335
2003	33	6	A1000336
2003	26	5	A1000337
2003	29	9	A1000338
2003	29	8	A1000339
2003	26	9	A1000340
2003	18	12	A1000341
2003	22	9	A1000342
2003	23	8	A1000344
2003	28	6	A1000345
2003	22	7	A1000346
2003	26	6	A1000347
2003	20	8	A1000348
2003	27	9	A1000350
2003	20	9	A1000351
2003	21	7	A1000352
2003	22	7	A1000353
2003	27	4	A1000357
2004	17	10	A1000377
2004	18	7	A1000378
2004	14	11	A1000384
2004	38	6	A1000404
2005	17	8	A1000406
2005	36	6	A1000409
2005	20	7	A1000411
2005	23	10	A1000413
2005	27	9	A1000415
2005	15	15	A1000416
2005	24	9	A1000417
2005	18	7	A1000418
2005	27	8	A1000424
2006	27	10	A1000427
2006	27	10	A1000428
2006	34	8	A1000430
2006	20	8	A1000432
2006	24	9	A1000433
2006	22	9	A1000437
2006	30	3	A1000438
2006	38	6	A1000439
2006	37	7	A1000441
2006	22	6	A1000442
2006	30	6	A1000443
2006	32	8	A1000444
2006	24	7	A1000445
2006	29	11	A1000448
2006	23	8	A1000449
2006	20	13	A1000450
2006	30	10	A1000451
2006	22	8	A1000452
2006	28	9	A1000454
2006	26	12	A1000455
2006	22	13	A1000456
2006	24	12	A1000457
2006	23	9	A1000458
2006	24	8	A1000460
2006	34	4	A1000463
2006	17	10	A1000464
2006	33	8	A1000466
2006	31	9	A1000467
2006	22	11	A1000468
2006	27	1	A1000471
2006	32	8	A1000473
2006	21	11	A1000474
2006	24	4	A1000477
2006	25	11	A1000478
2006	26	8	A1000479
2006	31	7	A1000481
2006	23	8	A1000482
2006	21	10	A1000485
2006	24	9	A1000486
2006	27	9	A1000487
2006	24	7	A1000491
2006	25	8	A1000493
2006	26	7	A1000495
2006	35	6	A1000496
2006	35	NA	A1000497
2006	35	8	A1000498
2006	29	3	A1000499
2006	29	7	A1000500
2007	13	10	A1000503
2007	8	15	A1000508
2007	24	7	A1000510
2007	29	NA	A1000512
2007	10	8	A1000513
2008	18	13	A1000527
2008	8	12	A1000530
2008	22	11	A1000531
2008	23	8	A1000532
2008	25	11	A1000534
2008	12	6	A1000535
2008	29	8	A1000536
2008	26	8	A1000537
2008	11	10	A1000538
2008	13	13	A1000542
2008	9	12	A1000544
2008	14	8	A1000545
2008	8	13	A1000546
2008	9	12	A1000548
2008	17	10	A1000550
2008	6	13	A1000553
2008	9	13	A1000556
2008	10	11	A1000561
2008	16	10	A1000564
2008	17	12	A1000565
2008	24	10	A1000566
2008	17	10	A1000568
2008	24	10	A1000570
2008	26	9	A1000571
2008	25	9	A1000572
2008	23	8	A1000573
2008	26	8	A1000576
2008	23	13	A1000577
2008	22	8	A1000578
2008	18	12	A1000579
2008	23	8	A1000581
2008	29	9	A1000585
2008	23	11	A1000586
2008	29	9	A1000590
2008	26	9	A1000591
2009	19	10	A1000607
2009	13	11	A1000618
2009	36	6	A1000621
2009	20	11	A1000632
2010	17	10	A1000633
2010	20	11	A1000634
2010	12	10	A1000636
2010	20	9	A1000647
2010	19	12	A1000649
2010	17	12	A1000651
2010	12	11	A1000653
2010	18	9	A1000662
2010	12	14	A1000668
2010	18	8	A1000669
2010	16	15	A1000673
2010	15	12	A1000677
2010	10	12	A1000679
2010	16	15	A1000684
2010	14	12	A1000686
2010	24	10	A1000694
2010	16	12	A1000697
2010	20	11	A1000700
2010	20	9	A1000701
2011	10	9	A1000707
2011	14	10	A1000708
2011	15	3	A1000709
2011	12	9	A1000711
2011	17	12	A1000712
2011	8	14	A1000713
2011	13	8	A1000715
2011	8	NA	A1000716
2011	15	2	A1000717
2011	11	11	A1000718
2011	8	15	A1000720
2011	7	9	A1000722
2011	13	9	A1000723
2011	14	8	A1000724
2011	10	10	A1000725
2011	18	8	A1000726
2011	11	10	A1000728
2011	17	12	A1000729
2011	15	10	A1000730
2011	17	10	A1000733
2011	9	13	A1000734
2011	19	NA	A1000735
2011	15	9	A1000736
2011	15	5	A1000737
2011	13	10	A1000738
2011	15	9	A1000739
2011	13	5	A1000740
2011	16	NA	A1000741
2011	21	6	A1000742
2011	20	8	A1000743
2011	32	4	A1000744
2011	14	10	A1000745
2011	28	7	A1000746
2011	20	9	A1000749
2012	49	1	A1000752
2012	6	14	A1000753
2012	27	7	A1000756
2012	14	10	A1000757
2012	8	10	A1000758
2012	19	11	A1000759
2012	12	9	A1000760
2012	6	11	A1000761
2012	15	9	A1000762
2012	50	2	A1000764
2012	17	5	A1000765
2012	24	9	A1000766
2012	10	8	A1000768
2012	6	8	A1000769
2012	22	9	A1000771
2012	26	6	A1000772
2012	20	7	A1000773
2012	23	2	A1000776
2012	28	4	A1000778
2012	24	9	A1000780
2013	37	NA	A1000787
2013	31	10	A1000788
2013	45	1	A1000789
2013	37	NA	A1000794
2013	33	NA	A1000798
2013	34	NA	A1000801
2013	33	NA	A1000802
2013	35	11	A1000804
2013	39	8	A1000810
2013	36	NA	A1000811
2013	37	NA	A1000817
2015	33	NA	A1000822
2015	15	NA	A1000823
2015	13	NA	A1000824
2015	39	NA	A1000825
2015	40	NA	A1000826
2015	18	NA	A1000827
2015	15	NA	A1000828
2015	31	NA	A1000829
2015	13	NA	A1000830
2015	19	NA	A1000831
2015	20	NA	A1000832
2015	38	NA	A1000833
2015	41	NA	A1000834
2015	19	NA	A1000835
2015	15	NA	A1000836
2015	21	NA	A1000837
2015	15	NA	A1000838
2015	31	NA	A1000839
2015	22	NA	A1000840
2015	41	NA	A1000841
2015	48	NA	A1000842
2015	19	NA	A1000843
2015	14	NA	A1000844
2015	17	NA	A1000845
2015	16	NA	A1000846
2015	23	NA	A1000847
2015	18	NA	A1000848
2015	13	NA	A1000849
2015	16	NA	A1000850
2015	16	NA	A1000851
2015	23	NA	A1000852
2015	25	NA	A1000853
2015	18	NA	A1000854
2015	24	NA	A1000855
2015	42	NA	A1000856
2015	25	NA	A1000857
2015	22	NA	A1000858
2015	41	NA	A1000859
2015	16	NA	A1000860
2015	16	NA	A1000861
2015	15	NA	A1000862
2015	19	NA	A1000863
2015	13	NA	A1000864
2015	19	NA	A1000865
2015	18	NA	A1000866
2015	22	NA	A1000867
2015	18	NA	A1000868
2015	18	NA	A1000869
2015	20	NA	A1000870
2015	22	NA	A1000871
2015	18	NA	A1000872
2015	17	NA	A1000873
2015	21	NA	A1000874
2015	15	NA	A1000875
2015	15	NA	A1000876
2015	29	NA	A1000877
2015	20	NA	A1000878
2015	18	NA	A1000879
2015	18	NA	A1000880
2015	19	NA	A1000881
2015	24	NA	A1000882
2015	37	NA	A1000883
2015	18	NA	A1000884
2015	17	NA	A1000885
2015	22	NA	A1000886
2015	29	NA	A1000887
2015	22	NA	A1000888
2015	23	NA	A1000889
2015	24	NA	A1000890
2015	28	NA	A1000891
2015	24	NA	A1000892
2015	22	NA	A1000893
2015	26	NA	A1000894
2015	19	NA	A1000895
2016	17	NA	A1000896
2016	20	NA	A1000897
2016	42	2	A1000898
2016	28	7	A1000899
2016	18	NA	A1000900
2016	22	10	A1000901
2016	41	8	A1000902
2016	16	NA	A1000903
2016	26	NA	A1000904
2016	32	NA	A1000905
2016	21	NA	A1000906
2016	13	8	A1000907
2016	43	NA	A1000908
2016	49	6	A1000909
2016	20	NA	A1000910
2016	28	NA	A1000911
2016	16	5	A1000912
2016	17	NA	A1000913
2016	25	7	A1000914
2016	28	NA	A1000915
2016	19	NA	A1000916
2016	27	5	A1000917
2016	27	7	A1000918
2016	28	NA	A1000919
2016	24	7	A1000920
2016	27	12	A1000921
2016	14	NA	A1000922
2016	37	NA	A1000923
2016	11	11	A1000924
2016	16	8	A1000925
2016	18	7	A1000926
2016	18	10	A1000927
2016	10	7	A1000928
2016	18	NA	A1000929
2016	18	NA	A1000930
2016	26	7	A1000931
2016	23	NA	A1000932
2016	29	7	A1000933
2016	30	8	A1000934
2016	41	NA	A1000935
2016	13	9	A1000936
2016	25	7	A1000937
2016	24	7	A1000938
2016	28	10	A1000939
2016	17	14	A1000940
2016	17	NA	A1000941
2016	17	10	A1000942
2016	15	11	A1000943
2016	20	10	A1000944
2016	18	NA	A1000945
2016	19	NA	A1000946
2016	23	9	A1000947
2016	19	11	A1000948
2016	20	7	A1000949
2016	32	6	A1000950
2016	28	7	A1000951
2016	36	8	A1000952
2016	22	NA	A1000953
2016	24	NA	A1000954
2016	16	6	A1000955
2016	18	NA	A1000956
2016	18	NA	A1000957
2016	36	3	A1000958
2016	35	NA	A1000959
2016	33	1	A1000960
2016	25	7	A1000961
2016	28	7	A1000962
2016	24	NA	A1000963
2016	23	8	A1000964
2016	38	3	A1000965
2016	29	NA	A1000966
2016	35	7	A1000967
2016	36	NA	A1000968
2016	26	4	A1000969
2016	31	NA	A1000970
2016	42	1	A1000971
2016	35	4	A1000972
2016	37	6	A1000973
2016	35	NA	A1000974
2016	26	NA	A1000975
2016	27	NA	A1000976
2017	4	NA	A1000977
2017	8	6	A1000978
2017	37	NA	A1000979
2017	33	NA	A1000980
2017	4	NA	A1000981
2017	4	11	A1000982
2017	25	7	A1000983
2017	3	12	A1000984
2017	5	NA	A1000985
2017	29	NA	A1000986
2017	6	NA	A1000987
2017	10	NA	A1000988
2017	5	NA	A1000989
2017	15	NA	A1000990
2017	6	11	A1000991
2017	6	10	A1000992
2017	12	10	A1000993
2017	11	NA	A1000994
2017	27	NA	A1000995
2017	8	NA	A1000996
2017	11	4	A1000997
2017	26	NA	A1000998
2017	4	11	A1000999
2017	5	9	A1001000
2017	6	8	A1001001
2017	4	9	A1001002
2017	15	10	A1001003
2017	11	NA	A1001004
2017	9	NA	A1001005
2017	14	9	A1001006
2017	4	10	A1001007
2017	13	NA	A1001008
2017	5	NA	A1001009
2017	7	11	A1001010
2017	29	7	A1001011
2017	6	NA	A1001012
2017	8	10	A1001013
2017	4	7	A1001014
2017	4	NA	A1001015
2017	6	NA	A1001016
2017	10	8	A1001017
2017	12	11	A1001018
2017	13	NA	A1001019
2017	42	4	A1001020
2017	7	8	A1001021
2017	4	8	A1001022
2017	9	8	A1001023
2017	9	6	A1001024
2017	9	8	A1001025
